,count
360470415001,64
360470417003,29
360470418001,32
360470420002,32
360470421001,30
360470421003,124
360470421004,32
360470423001,512
360470423002,62
360470423003,31
360470425001,31
360470425002,62
360470425003,224
360470427001,256
360470427002,224
360470427003,31
360470427004,288
360470429001,155
360470429002,31
360470429003,96
360470429004,62
360470431001,128
360470431002,93
360470431003,31
360470431004,62
360470432002,32
360470432003,32
360470433002,93
360470433003,64
360470435001,31
360470435002,32
360470435003,32
360470439001,32
360470439003,155
360470441001,62
360470441002,64
360470442001,32
360470443002,32
360470443004,62
360470444003,32
360470445001,128
360470445002,62
360470445003,128
360470447001,576
360470447002,240
360470448001,160
360470449001,29
360470449003,320
360470449004,675
360470450001,128
360470452002,62
360470453001,775
360470453002,899
360470460001,32
360470460002,32
360470462011,32
360470470001,32
360470476001,30
360470477001,768
360470477002,330
360470478001,32
360470481001,96
360470481002,527
360470481003,279
360470482003,31
360470482004,32
360470484001,66
360470484002,32
360470485001,1312
360470485002,726
360470486001,64
360470486002,64
360470486003,96
360470488001,32
360470488003,32
360470489001,62
360470489002,93
360470489003,31
360470490001,32
360470490002,64
360470491001,256
360470491002,434
360470491003,240
360470491004,186
360470492001,32
360470492002,96
360470492003,32
360470493001,124
360470493002,403
360470493003,1488
360470493004,180
360470493005,196
360470494001,64
360470494002,64
360470495001,480
360470495002,512
360470495003,1248
360470496002,32
360470497001,384
360470497002,1184
360470497003,1472
360470498001,64
360470498002,32
360470498003,32
360470499001,288
360470499002,224
360470501001,96
360470501002,832
360470501003,5216
360470502022,32
360470503001,480
360470503002,672
360470503003,1440
360470504001,132
360470504002,64
360470504003,224
360470505001,124
360470505002,384
360470505003,155
360470506002,64
360470506004,96
360470507001,429
360470508031,165
360470508041,31
360470509001,224
360470509002,64
360470510011,31
360470510012,93
360470510021,32
360470510022,62
360470511001,186
360470511002,186
360470511003,32
360470512002,62
360470512003,62
360470513001,3168
360470513002,480
360470513003,2139
360470513004,775
360470514003,64
360470514004,62
360470515001,1188
360470516011,31
360470516013,32
360470516022,64
360470517001,2475
360470517002,2336
360470519001,2144
360470519002,2015
360470519003,7392
360470520001,32
360470523001,1248
360470523002,1581
360470523003,3104
360470523004,2010
360470523005,899
360470525001,2759
360470526001,192
360470526002,32
360470526003,32
360470527001,93
360470527002,31
360470527003,540
360470527004,1178
360470527006,31
360470528002,128
360470529001,96
360470529002,192
360470529003,713
360470530001,64
360470531001,160
360470531002,96
360470532002,33
360470533002,64
360470533003,64
360470533005,64
360470535002,62
360470535004,32
360470537001,124
360470537002,320
360470538001,32
360470538002,32
360470543001,234
360470543002,217
360470544003,32
360470545004,30
360470545005,31
360470546003,32
360470547001,160
360470547002,62
360470547003,128
360470548001,32
360470549001,1782
360470549002,4681
360470551001,1519
360470551002,1280
360470551003,868
360470551004,480
360470553001,6304
360470553002,3200
360470553003,3712
360470554003,32
360470555001,6897
360470557001,768
360470557002,7130
360470561001,416
360470561002,192
360470561003,1472
360470561004,288
360470563001,160
360470563002,186
360470563003,96
360470563004,352
360470565001,640
360470565002,465
360470565003,1504
360470569001,3038
360470569002,1280
360470571001,128
360470571002,64
360470571003,832
360470571004,496
360470573001,96
360470573002,352
360470573003,124
360470575001,384
360470575002,128
360470575003,384
360470575004,279
360470579001,124
360470579002,961
360470586002,32
360470589001,256
360470589002,128
360470591001,128
360470591002,128
360470591003,264
360470591004,62
360470593001,96
360470593002,155
360470598002,32
360470610041,30
360470632001,32
360470646001,32
360470666001,25
360470676001,32
360470724002,32
360470726001,32
360470728001,32
360470730001,64
360470732001,32
360470738002,64
360470742002,33
360470746002,32
360470752001,64
360470754002,30
360470764001,64
360470766001,32
360470768003,32
360470770001,32
360470774001,32
360470782002,32
360470786001,128
360470786002,96
360470788003,32
360470790001,31
360470790002,31
360470790004,32
360470792001,33
360470792003,64
360470794001,96
360470796011,160
360470796012,248
360470796021,256
360470796022,64
360470798011,64
360470798012,288
360470798021,64
360470798022,372
360470798023,248
360470800001,32
360470800003,32
360470802001,32
360470802003,32
360470804001,32
360470804002,64
360470804003,32
360470806001,64
360470808001,62
360470810002,32
360470818002,31
360470820003,31
360470822003,31
360470822004,96
360470824003,96
360470858002,32
360470860001,32
360470862003,31
360470868001,32
360470874011,32
360470878001,32
360470880001,64
360470880003,64
360470882004,32
360470888002,32
360470890004,30
360470892003,31
360470892004,30
360470912001,31
360470932001,64
360470938001,32
360470944021,31
360470950001,32
360470998002,32
360471028001,32
360471034001,31
360471058043,31
360471098002,62
360471124003,32
360471126002,30
360471126003,32
360471164002,32
360471168002,32
360471170002,96
360471174002,33
360471186002,32
360471188002,31
360471190001,32
360471192002,31
360471196003,64
360471198001,30
360471200001,96
360471202002,32
360471220001,31
360471220002,32
360471237001,217
360471237002,256
360471237003,576
360471502001,64
360471502003,64
360471522001,64
360471522002,96
360471522003,96
360593008002,30
360593028001,30
360610002011,248
360610002012,310
360610002021,279
360610002022,320
360610002024,62
360610002025,160
360610006001,2790
360610006002,310
360610006003,2139
360610006004,180
360610006005,62
360610006006,256
360610007001,78903
360610008001,682
360610008002,186
360610008003,93
360610008005,186
360610008006,2821
360610009001,59565
360610010011,806
360610010021,341
360610010022,62
360610010023,558
360610012001,1333
360610012002,416
360610012003,608
360610013001,53592
360610013002,26895
360610014011,2592
360610014012,608
360610014021,10540
360610014022,2325
360610015011,12639
360610015012,5181
360610015013,12570
360610015021,16665
360610015022,35343
360610016001,10943
360610016002,558
360610016003,1829
360610016004,3937
360610016005,8804
360610018001,7800
360610018002,21669
360610018003,36859
360610018004,3600
360610018005,26195
360610018006,1705
360610018007,3007
360610020001,341
360610020002,31
360610020003,1984
360610021001,54496
360610021002,31878
360610022011,2976
360610022012,1380
360610022013,651
360610022014,527
360610022021,13504
360610024001,186
360610024002,62
360610025001,930
360610025003,403
360610026011,1984
360610026012,5280
360610026021,3872
360610026022,8544
360610027001,3234
360610028001,2077
360610028002,2460
360610028003,5611
